series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,7,7,min-max,uniform,translate,delelete_bad,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.859375,0.25
2,FIFTS,3,7,7,min-max,uniform,translate,delelete_bad,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.8125,0.75
2,FIFTS,3,7,7,min-max,uniform,translate,nothing,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.84375,0.5
2,FIFTS,3,7,7,min-max,uniform,translate,nothing,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.828125,0.25
2,FIFTS,3,7,7,min-max,uniform,translate,nothing,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.8125,0.75
2,FIFTS,3,7,7,min-max,uniform,nothing,delelete_bad,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.546875,0.5
2,FIFTS,3,7,7,min-max,uniform,nothing,delelete_bad,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.546875,0.25
2,FIFTS,3,7,7,min-max,uniform,nothing,delelete_bad,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.609375,0.75
2,FIFTS,3,7,7,min-max,uniform,nothing,nothing,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.5625,0.5
2,FIFTS,3,7,7,min-max,uniform,nothing,nothing,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.5625,0.25
2,FIFTS,3,7,7,min-max,uniform,nothing,nothing,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.640625,0.75
2,FIFTS,3,9,9,mu-sigma,knn,translate,delelete_bad,3.997,0.999451128103595,0.9994621319660764,0.10037676254920083,0.002956323522731004,0.5536493013726026,2.453125,0.5
2,FIFTS,3,9,9,mu-sigma,knn,translate,delelete_bad,3.997,0.999451128103595,0.9994621319660764,0.10037676254920083,0.002956323522731004,0.5536493013726026,2.34375,0.25
2,FIFTS,3,9,9,mu-sigma,knn,translate,delelete_bad,3.997,0.999451128103595,0.9994621319660764,0.10037676254920083,0.002956323522731004,0.5536493013726026,2.484375,0.75
2,FIFTS,3,9,9,mu-sigma,knn,translate,nothing,3.997,0.999451128103595,0.9994621319660764,0.10037676254920083,0.002956323522731004,0.5536493013726026,2.421875,0.5
2,FIFTS,3,9,9,mu-sigma,knn,translate,nothing,3.997,0.999451128103595,0.9994621319660764,0.10037676254920083,0.002956323522731004,0.5536493013726026,2.765625,0.25
2,FIFTS,3,9,9,mu-sigma,knn,translate,nothing,3.997,0.999451128103595,0.9994621319660764,0.10037676254920083,0.002956323522731004,0.5536493013726026,2.5,0.75
2,FIFTS,3,9,9,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994580299169578,0.9994638058516735,0.09974863452984165,0.002942610912805514,0.5515104499409476,0.171875,0.5
